0.00,2.00,4.12,3.16,4.00,5.10,1.41,3.16,4.00,2.24,
2.00,0.00,5.00,1.41,2.00,5.10,1.41,5.10,4.47,2.24,
4.12,5.00,0.00,5.00,6.40,2.24,3.61,3.61,1.00,2.83,
3.16,1.41,5.00,0.00,1.41,4.47,2.00,6.00,4.24,2.24,
4.00,2.00,6.40,1.41,0.00,5.83,3.16,7.07,5.66,3.61,
5.10,5.10,2.24,4.47,5.83,0.00,4.00,5.66,1.41,3.00,
1.41,1.41,3.61,2.00,3.16,4.00,0.00,4.00,3.16,1.00,
3.16,5.10,3.61,6.00,7.07,5.66,4.00,0.00,4.24,4.12,
4.00,4.47,1.00,4.24,5.66,1.41,3.16,4.24,0.00,2.24,
2.24,2.24,2.83,2.24,3.61,3.00,1.00,4.12,2.24,0.00,
